ingr_name;region;region_code;olfactive;cft_id;IPC;IPC_as_text;dilution;intensity;supplier;associated_code;no_scent_percent;mood_Happy;mood_Relaxed;mood_Sensuous;mood_Stimulated;mood_Apathetic;mood_Depressed;mood_Irritated;mood_Stressed;smell_Airy_Breezy;smell_Antibacterial_Disinfecting;smell_Clean;smell_Comforting_Relaxing;smell_Confident;smell_Deodorizing;smell_Distinctive_Unique;smell_Elegant_Luxurious;smell_Energizing;smell_Expensive_Sophisticated;smell_Familiar;smell_Feminine;smell_For children;smell_For both men and women;smell_Fresh;smell_Healthy;smell_Indulgent;smell_Innocent;smell_Invigorating_Rejuvenating;smell_Light_Mild;smell_Masculine;smell_Moisturizing;smell_Natural;smell_Nostalgic_Memorable;smell_Nourishing_Caring;smell_Pure;smell_Refreshing;smell_Sense of well-being;smell_Sensual;smell_Soft;smell_Therapeutic;negative_Artificial;negative_Cheap;negative_Chemical;negative_Harsh;negative_Heavy;negative_Old_Aged;negative_Overwhelming;negative_Malodor;negative_Musty;negative_Stale;negative_Unhealthy;negative_Unpleasant;descriptor_Citrusy;descriptor_Cool;descriptor_Creamy;descriptor_Dry;descriptor_Earthy;descriptor_Floral;descriptor_Food-like_Tasty;descriptor_Fruity;descriptor_Green;descriptor_Herbal;descriptor_Juicy;descriptor_Medicinal;descriptor_Oily;descriptor_Pine;descriptor_Powdery;descriptor_Soapy;descriptor_Spicy;descriptor_Sweet;descriptor_Warm;descriptor_Wet_Moist;descriptor_Woody;color_color_1;color_color_2;color_color_3;color_color_4;color_color_5;color_color_6;color_color_7;color_color_8;color_color_9;color_color_10;color_color_11;color_color_12;color_color_13;color_color_14;color_color_15;color_color_16;color_color_17;color_color_18;color_color_19;color_color_20;color_color_21;color_color_22;color_color_23;color_color_24;color_color_25;color_color_26;color_color_27;color_color_28;color_color_29;color_color_30;color_color_31;color_color_32;color_color_33;color_color_34;color_color_35;color_color_36;color_color_37;color_color_38;color_color_39;color_color_40;color_color_41;color_color_42;texture_Texture_1;texture_Texture_2;texture_Texture_3;texture_Texture_4;texture_Texture_5;texture_Texture_6;texture_Texture_7;texture_Texture_8;texture_Texture_9;texture_Texture_10;texture_Texture_11;texture_Texture_12;review;
CARDAMON OIL LMR;US;US;Spice;IN116;032885;032885;10% IPM;3.62 (0.88);IFF;;0;0.211;0.138;0.009;0.303;0.046;0.073;0.138;0.083;0.413;0.771;0.578;0.174;0.248;0.697;0.367;0.037;0.44;0.037;0.422;0.147;0.11;0.229;0.44;0.275;0.193;0.083;0.541;0.229;0.156;0.11;0.248;0.138;0.101;0.183;0.413;0.257;0.083;0.101;0.33;0.358;0.275;0.266;0.303;0.257;0.119;0.229;0.174;0.156;0.183;0.119;0.422;0.752;0.468;0.183;0.11;0.239;0.147;0.321;0.339;0.303;0.431;0.303;0.367;0.202;0.193;0.055;0.128;0.266;0.495;0.119;0.321;0.22;0.303;0.101;0.018;0.037;0.037;0.037;0.028;0.495;0.202;0.018;0.055;0.028;0.064;0.028;0.358;0.055;0.092;0.046;0.073;0.046;0.028;0.092;0.138;0.174;0.018;0.083;0.055;0.046;0.064;0.202;0.174;0.018;0;0.028;0.028;0.083;0.147;0.165;0.147;0.037;0.009;0.083;0.055;0.073;0.064;0.055;0.101;0.083;0.128;0.193;0.046;0.073;0.037;0.092;AS A STIMULANT, CARDAMOM IS ALSO USED FOR MENTAL FATIGUE, NERVOUS STRAIN, EXHAUSTION AND LACK OF CONCENTRATION.CARDAMOM CAN BE A SKIN IRRITANT AND SENSITIZER.;
BASIL OIL LMR  (5%);Brazil;BR;Herbal;IN148;021602;021602;5% IPM;3.83(0.87);IFF;;0;0.2417;0.1333;0.0417;0.2417;0.05;0.05;0.15;0.0917;0.2167;0.3833;0.25;0.2917;0.1;0.2583;0.2;0.125;0.25;0.05;0.15;0.175;0.0417;0.1417;0.3667;0.2;0.075;0.075;0.2167;0.1667;0.2333;0.0667;0.3167;0.075;0.15;0.15;0.3667;0.2583;0.0333;0.1167;0.2917;0.8;0.35;0.3833;0.1667;0.35;0.1917;0.4167;0.0333;0.05;0.0333;0.05;0.125;0.3167;0.3;0.05;0.3333;0.1833;0.1083;0.1667;0.1583;0.55;0.5917;0.0833;0.5667;0.025;0.2167;0;0.1;0.2417;0.2167;0.0667;0.2667;0.2083;0.1083;0.125;0.0833;0.0917;0.1;0.1083;0.1083;0.05;0.1417;0.0667;0.0917;0.0917;0.075;0.0833;0.1;0.1083;0.025;0.075;0.1;0.0417;0.1083;0.15;0.1917;0.1333;0.0583;0.1;0.1;0.0417;0.0583;0.0917;0.1667;0.1667;0.1167;0.0583;0.0333;0.0667;0.15;0.1083;0.1583;0.0417;0.075;0.05;0.0917;0.0583;0.0583;0.0667;0.1333;0.1;0.1083;0.0583;0.0833;0.0667;0.0833;0.0917;"BASIL EXTRACTS CAN BE USED IN:- LOTIONS FOR LIMP AND DULL HAIR- BODY AND HAND CARE PRODUCTS (DEODORANTS)- FACE PRODUCTS FOR DRY, DELICATE AND TIRED SKINCOSMETIC USAGE LEVEL: 2 - 5 % (EXTRACT); 0.1 - 1 % (ESSENTIAL OIL). ";
BASIL OIL LMR  (5%);China-Shanghai;CH-Sha;Herbal;IN148;021602;021602;5% IPM;3.43 (0.91);IFF;;;0.06;0.11;0.06;0.13;0.12;0.15;0.22;0.15;0.06;0.58;0.22;0.07;0.11;0.51;0.24;0.02;0.07;0;;0.02;;0.02;0.13;0.08;0.04;0.07;0.1;0.06;0.21;0;0.08;0.02;0.03;0.08;0.27;0.04;0.05;0.01;0.59;0.56;;;0.57;0.36;0.01;;;;;;;0.09;0.29;0.03;0.34;0.2;0.06;0.7;0.01;0.14;0.31;;;0.24;;0.14;0.13;0.97;0.04;0.12;0.21;0.61;0.01;0.03;0.09;0.02;0.05;0.05;0.06;0.01;0.06;0.09;0.01;0.06;0.11;0.07;0.05;0.02;0.08;0.04;0.07;0.14;0.06;0.01;0.06;0.06;0.14;0.36;0.07;0.08;0.04;0.09;0.11;0.33;0.19;0.07;0.14;0.09;0.06;0.28;0.42;0.03;0.03;0.16;0.03;0;0.09;0.06;0.04;0.12;0.09;0.28;0.07;0.07;0.05;0.1;"BASIL EXTRACTS CAN BE USED IN:- LOTIONS FOR LIMP AND DULL HAIR- BODY AND HAND CARE PRODUCTS (DEODORANTS)- FACE PRODUCTS FOR DRY, DELICATE AND TIRED SKINCOSMETIC USAGE LEVEL: 2 - 5 % (EXTRACT); 0.1 - 1 % (ESSENTIAL OIL). ";
BASIL OIL LMR  (5%);Germany;GE;Herbal;IN148;021602;021602;5% IPM;3.79(0.92);IFF;;0;0.025;0.125;0.025;0.25;0.0917;0.0667;0.2417;0.175;0.075;0.4583;0.15;0.0833;0.1167;0.1833;0.125;0.0417;0.3083;0.05;0.1833;0.0333;0.0417;0.1917;0.3;0.3417;0.0417;0.025;0.1667;0.05;0.2167;0.075;0.2167;0.15;0.25;0.1083;0.1833;0.1333;0.025;0.0667;0.7583;0.3583;0.1417;0.3;0.4583;0.225;0.1917;0.0917;0.1917;0.15;0.1083;0.125;0.5417;0.0333;0.2833;0.0083;0.2417;0.25;0.0667;0.0583;0.1167;0.2417;0.4917;0.0417;0.7167;0.0667;0.275;0.0667;0.1167;0.7667;0.0667;0.0833;0.125;0.2833;0.0083;0.025;0.0083;0;0.05;0.075;0.0583;0.0083;0;0;0.0083;0.0667;0.075;0.075;0.0083;0.0333;0.0083;0.0333;0.0667;0.1167;0.1083;0.1167;0.125;0.1083;0.0667;0.2;0.075;0.0833;0.1167;0.1917;0.1833;0.175;0.0667;0.1167;0.0667;0.2417;0.2667;0.3917;0.3083;0.0667;0.075;0.125;0.0333;0.0417;0.05;0.025;0.0667;0.125;0.1167;0.25;0.0833;0.0917;0.0583;0.0583;"BASIL EXTRACTS CAN BE USED IN:- LOTIONS FOR LIMP AND DULL HAIR- BODY AND HAND CARE PRODUCTS (DEODORANTS)- FACE PRODUCTS FOR DRY, DELICATE AND TIRED SKINCOSMETIC USAGE LEVEL: 2 - 5 % (EXTRACT); 0.1 - 1 % (ESSENTIAL OIL). ";
BASIL OIL LMR (10%);US;US;Herbal;IN006;021602;021602;10% IPM;4.25 (0.99);IFF;IN148;0;0.024;0.071;0.016;0.278;0.04;0.04;0.373;0.159;0.119;0.611;0.254;0.151;0.159;0.524;0.484;0.04;0.294;0.032;0.389;0.024;0.04;0.183;0.206;0.183;0.087;0.04;0.405;0.008;0.254;0.032;0.214;0.294;0.04;0.103;0.254;0.079;0.056;0.032;0.611;0.429;0.278;0.698;0.881;0.738;0.254;0.69;0.167;0.262;0.206;0.341;0.794;0.048;0.294;0.135;0.19;0.516;0.056;0.421;0.095;0.27;0.54;0.032;0.841;0.119;0.381;0.032;0.071;0.516;0.119;0.103;0.135;0.524;0.04;0.008;0.008;0;0.016;0.008;0.032;0.008;0.016;0.008;0.024;0.008;0.079;0.032;0.048;0.048;0.095;0.032;0.024;0.087;0.056;0.103;0.159;0.087;0.04;0.206;0.008;0.04;0.063;0.214;0.183;0.119;0.087;0.024;0.079;0.159;0.19;0.389;0.405;0.024;0.071;0.619;0.024;0.016;0.04;0.04;0.04;0.063;0.079;0.413;0.032;0.127;0.024;0.103;"BASIL EXTRACTS CAN BE USED IN:- LOTIONS FOR LIMP AND DULL HAIR- BODY AND HAND CARE PRODUCTS (DEODORANTS)- FACE PRODUCTS FOR DRY, DELICATE AND TIRED SKINCOSMETIC USAGE LEVEL: 2 - 5 % (EXTRACT); 0.1 - 1 % (ESSENTIAL OIL). ";
BASIL OIL LMR (5%);China-Beijing;CH-Bei;Herbal;IN148;021602;021602;5% IPM;2.43 (0.24);IFF;;;0.0196;0.2647;0.0784;0.0784;0.2451;0.0882;0.1471;0.0784;0.2255;0.4216;0.4314;0.1765;0.1176;0.2745;0.098;0.0098;0.0882;0.0098;;0.0392;;0.0882;0.1667;0.2157;0.1275;0.1471;0.1961;0.3922;0.1078;0.049;0.1765;0.1176;0.0588;0.2745;0.1667;0.049;0.049;0.098;0.3137;0.2941;;;0.3431;0.2843;0.0392;;;;;;;0.1569;0.3333;0.098;0.402;0.2255;0.3333;0.4608;0.2353;0.2745;0.549;;;0.098;;0.0882;0.1471;0.4804;0.2647;0.2745;0.2843;0.4412;0.0588;0.0686;0.1176;0.098;0.1078;0.1373;0.1373;0.0196;0.0294;0.1176;0;0.0196;0.098;0.049;0.049;0.0392;0.0392;0.0294;0.0686;0.1176;0.0784;0.1373;0.1765;0.1275;0.1275;0.2549;0.1373;0.0784;0.0882;0.0686;0.0588;0.2157;0.0588;0.0588;0.049;0.1275;0.0588;0.1373;0.3333;0.049;0.0686;0.1078;0.0392;0.0588;0.1176;0.0686;0.0392;0.0686;0.049;0.1961;0.0588;0.1667;0.0686;0.0686;"BASIL EXTRACTS CAN BE USED IN:- LOTIONS FOR LIMP AND DULL HAIR- BODY AND HAND CARE PRODUCTS (DEODORANTS)- FACE PRODUCTS FOR DRY, DELICATE AND TIRED SKINCOSMETIC USAGE LEVEL: 2 - 5 % (EXTRACT); 0.1 - 1 % (ESSENTIAL OIL). ";
BASIL OIL LMR (5%);China-Total;CH-Tot;Herbal;IN148;021602;021602;5% IPM;2.93 (0.69);IFF;;;0.040;0.188;0.069;0.104;0.183;0.119;0.183;0.114;0.144;0.500;0.327;0.124;0.114;0.391;0.168;0.015;0.079;0.005;;0.030;;0.054;0.149;0.149;0.084;0.109;0.149;0.228;0.158;0.025;0.129;0.069;0.045;0.178;0.218;0.045;0.050;0.054;0.450;0.426;;;0.455;0.322;0.025;;;;;;;0.124;0.312;0.064;0.371;0.213;0.198;0.579;0.124;0.208;0.431;;;0.168;;0.114;0.139;0.723;0.153;0.198;0.248;0.525;0.035;0.050;0.104;0.059;0.079;0.094;0.099;0.015;0.045;0.104;0.005;0.040;0.104;0.059;0.050;0.030;0.059;0.035;0.069;0.129;0.069;0.074;0.119;0.094;0.134;0.307;0.104;0.079;0.064;0.079;0.084;0.272;0.124;0.064;0.094;0.109;0.059;0.208;0.376;0.040;0.050;0.134;0.035;0.030;0.104;0.064;0.040;0.094;0.069;0.238;0.064;0.119;0.059;0.084;"BASIL EXTRACTS CAN BE USED IN:- LOTIONS FOR LIMP AND DULL HAIR- BODY AND HAND CARE PRODUCTS (DEODORANTS)- FACE PRODUCTS FOR DRY, DELICATE AND TIRED SKINCOSMETIC USAGE LEVEL: 2 - 5 % (EXTRACT); 0.1 - 1 % (ESSENTIAL OIL). ";
BASIL OIL LMR (5%);France;FR;Herbal;IN148;021602;021602;5% IPM;3.84(0.94);IFF;;0;0.058;0.192;0.058;0.133;0.067;0.083;0.2;0.208;0.008;0.317;0.2;0.15;0.158;0.367;0.217;0.1;0.375;0.042;0.083;0.092;0;0.125;0.1;0.067;0.075;0.042;0.175;0.008;0.158;0.042;0.242;0.075;0.075;0.15;0.075;0.075;0.15;0.2;0.458;0.108;0.033;0.158;0.108;0.2;0.067;0.283;0.133;0.067;0.017;0.05;0.308;0.192;0.117;0.117;0.275;0.208;0.075;0.1;0.092;0.183;0.167;0.042;0.442;0.208;0.133;0.133;0.017;0.358;0.058;0.05;0.092;0.383;0.1;0.092;0.067;0.05;0.05;0.042;0.075;0.058;0.117;0.058;0.05;0.092;0.083;0.058;0.05;0.058;0.025;0.042;0.042;0.05;0.067;0.1;0.208;0.15;0.133;0.2;0.083;0.1;0.192;0.133;0.108;0.125;0.108;0.083;0.05;0.133;0.108;0.192;0.242;0.125;0.042;0.058;0.017;0.083;0.075;0.058;0.042;0.058;0.1;0.167;0.1;0.117;0.067;0.117;"BASIL EXTRACTS CAN BE USED IN:- LOTIONS FOR LIMP AND DULL HAIR- BODY AND HAND CARE PRODUCTS (DEODORANTS)- FACE PRODUCTS FOR DRY, DELICATE AND TIRED SKINCOSMETIC USAGE LEVEL: 2 - 5 % (EXTRACT); 0.1 - 1 % (ESSENTIAL OIL). ";
BASIL OIL LMR (5%);India-Chennai;IN-Chen;Herbal;IN148;021602;021602;5% IPM;3.52 (0.75);IFF;;2;0.4516;0.3226;0.0484;0.0484;0.0484;0.0323;0.0323;0.0161;0.2742;0.2903;0.8065;0.0968;0.5968;0.371;0.1935;0.1129;0.3871;0.0806;0.2097;0.129;0.3387;0.1774;0.6935;0.7258;0.4677;0.2742;0.0968;0.2097;0.1129;0.0968;0.7581;0.0323;0.0645;0.7258;0.2419;0.2258;0.1774;0.5;0.4516;0.1129;0.1452;0.1613;0.0323;0.2258;0;0;0;0;0.1452;0.0323;0.1774;0.1774;0.1452;0.2903;0.1452;0.0484;0.0645;0.2903;0.1452;0.2742;0.7742;0.1129;0.4194;0.0645;0;0.371;0.2742;0.5161;0.0806;0.129;0.0484;0.0161;0.0161;0.1129;0.0484;0.0968;0.0323;0.0484;0.0323;0.0645;0.0968;0.0806;0.0806;0.1452;0.0806;0;0.0968;0.1613;0.1774;0.2258;0.0484;0.1129;0.0161;0.0645;0.1129;0.0161;0.1613;0.2581;0.0645;0.0484;0.0645;0.2258;0.129;0.1774;0.1129;0.0484;0.0968;0.0968;0.1774;0.1452;0.0968;0.0968;0.0323;0;0;0.0645;0.1129;0.1452;0.0968;0.1613;0.1452;0.0968;0.0323;0.0161;0.0484;0.0806;"BASIL EXTRACTS CAN BE USED IN:- LOTIONS FOR LIMP AND DULL HAIR- BODY AND HAND CARE PRODUCTS (DEODORANTS)- FACE PRODUCTS FOR DRY, DELICATE AND TIRED SKINCOSMETIC USAGE LEVEL: 2 - 5 % (EXTRACT); 0.1 - 1 % (ESSENTIAL OIL). ";
BASIL OIL LMR (5%);India-Delhi;IN-Del;Herbal;IN148;021602;021602;5% IPM;3.63 (0.89);IFF;;0;0.3692;0.1385;0.2;0.0769;0.0769;0.0462;0.0769;0.0154;0.4923;0.5538;0.6308;0.1077;0.4308;0.5385;0.2154;0.2154;0.3846;0.3538;0.5846;0.2;0.1231;0.2615;0.7231;0.6769;0.5538;0.4615;0.3692;0.2769;0.2308;0.6462;0.6769;0.1692;0.1846;0.6769;0.5846;0.3538;0.4462;0.6154;0.6308;0.1538;0.0769;0.3538;0.0615;0.1231;0;0.1231;0.0308;0.0308;0;0.0462;0.0923;0.2308;0.3077;0.3385;0.1692;0.0308;0.1692;0.1231;0.3385;0.1692;0.6462;0.4462;0.4923;0.0615;0.0769;0.2769;0.4154;0.3231;0.3538;0.1538;0.0308;0.0769;0.1077;0.1385;0.1692;0.1538;0.1846;0.1385;0.1231;0.1385;0.1385;0.2615;0.2;0.0462;0.0462;0.0923;0.0923;0.1231;0.0462;0.1077;0.0154;0.1077;0.0615;0.1231;0.1385;0.1231;0.0923;0.1385;0.0923;0.0154;0;0;0.0462;0.0462;0.0462;0.0462;0.0615;0.0923;0.0462;0.0615;0.1385;0.0462;0.1385;0.0154;0.1231;0.0615;0.0462;0.1077;0.1077;0.1077;0.0615;0.0615;0.1385;0.0308;0.1077;0.0462;"BASIL EXTRACTS CAN BE USED IN:- LOTIONS FOR LIMP AND DULL HAIR- BODY AND HAND CARE PRODUCTS (DEODORANTS)- FACE PRODUCTS FOR DRY, DELICATE AND TIRED SKINCOSMETIC USAGE LEVEL: 2 - 5 % (EXTRACT); 0.1 - 1 % (ESSENTIAL OIL). ";
